,fecha,institution_id,logged_users
324,2017-12-01,708,2233
325,2017-12-01,606,1
326,2017-12-01,738,201
327,2017-12-01,43,56
328,2017-12-01,579,88
329,2017-12-01,728,1832
330,2017-12-01,18,10
331,2017-12-01,375,27
332,2017-12-01,717,913
333,2017-12-01,653,29
334,2017-12-01,739,435
335,2017-12-02,44,254
336,2017-12-02,586,17
337,2017-12-04,2,1
338,2017-12-04,54,66
339,2017-12-04,603,564
340,2017-12-05,24,4
341,2017-12-05,719,4
342,2017-12-05,720,4
343,2017-12-05,13,4
344,2017-12-06,344,1
345,2017-12-08,5,2
346,2017-12-11,583,40
347,2017-12-11,602,1
348,2017-12-11,743,523
349,2017-12-11,115,1
350,2017-12-12,26,1
351,2017-12-14,730,7
352,2017-12-14,14,2
353,2017-12-14,744,1091
354,2017-12-19,736,4
355,2017-12-20,745,29
356,2017-12-20,7,2
357,2017-12-21,741,4
358,2017-12-21,687,6
359,2017-12-21,310,1
360,2017-12-21,17,2
361,2017-12-24,157,2
362,2017-12-24,38,1
363,2017-12-24,127,1
364,2017-12-26,536,1
365,2017-12-26,294,3
366,2018-01-01,524,142
367,2018-01-01,744,151
368,2018-01-01,12,162
369,2018-01-01,728,2055
370,2018-01-01,29,143
371,2018-01-01,0,168
372,2018-01-01,541,1178
373,2018-01-01,717,97
374,2018-01-01,1,512
375,2018-01-01,75,864
376,2018-01-01,603,514
377,2018-01-01,554,45
378,2018-01-01,708,672
379,2018-01-01,4,13
380,2018-01-01,44,1700
381,2018-01-01,743,162
382,2018-01-02,7,2
383,2018-01-02,736,6
384,2018-01-02,727,1040
385,2018-01-02,738,32
386,2018-01-02,48,150
387,2018-01-02,586,10
388,2018-01-02,745,53
389,2018-01-02,677,51
390,2018-01-02,739,117
391,2018-01-02,54,6
392,2018-01-02,730,8
393,2018-01-02,731,20
394,2018-01-02,43,7
395,2018-01-02,742,55
396,2018-01-02,733,106
397,2018-01-02,579,12
398,2018-01-02,721,19
399,2018-01-03,17,2
400,2018-01-04,653,23
401,2018-01-04,157,7
402,2018-01-04,741,7
403,2018-01-05,13,6
404,2018-01-05,719,8
405,2018-01-05,713,8
406,2018-01-09,294,7
407,2018-01-09,687,2
408,2018-01-10,536,9
409,2018-01-11,715,3
410,2018-01-11,375,3
411,2018-01-12,746,42
412,2018-01-14,31,1
413,2018-01-15,716,2
414,2018-01-18,23,1
415,2018-01-19,665,2
416,2018-01-19,310,1
417,2018-01-19,617,1
418,2018-01-19,468,4
419,2018-01-25,602,1
420,2018-01-27,127,2
421,2018-01-27,47,1
422,2018-01-30,14,1
423,2018-01-31,583,2
424,2018-01-31,24,1
425,2018-01-31,82,1
426,2018-02-01,554,22
427,2018-02-01,730,1
428,2018-02-01,1,282
429,2018-02-01,44,22
430,2018-02-01,653,92
431,2018-02-01,742,10
432,2018-02-01,14,11
433,2018-02-01,524,40
434,2018-02-01,717,113
435,2018-02-01,48,167
436,2018-02-01,677,1
437,2018-02-01,743,40
438,2018-02-01,733,80
439,2018-02-01,721,36
440,2018-02-01,75,915
441,2018-02-01,744,5
442,2018-02-01,738,14
443,2018-02-01,727,242
444,2018-02-01,708,468
445,2018-02-01,745,17
446,2018-02-01,29,50
447,2018-02-01,603,813
448,2018-02-01,739,5
449,2018-02-01,541,1148
450,2018-02-01,728,234
451,2018-02-01,0,143
452,2018-02-01,157,7
453,2018-02-01,746,1258
454,2018-02-02,537,1
455,2018-02-02,12,38
456,2018-02-03,13,2
457,2018-02-05,731,13
458,2018-02-07,687,17
459,2018-02-07,11,1
460,2018-02-08,747,40
461,2018-02-08,586,12
462,2018-02-09,748,3
463,2018-02-09,536,3
464,2018-02-10,17,4
465,2018-02-12,716,2
466,2018-02-12,579,3
467,2018-02-13,5,2
468,2018-02-15,715,2
469,2018-02-15,43,2
470,2018-02-16,375,10
471,2018-02-19,18,3
472,2018-02-19,115,17
473,2018-02-20,6,3
474,2018-02-21,616,1
475,2018-02-22,583,1
476,2018-02-23,741,8
477,2018-03-01,48,182
478,2018-03-01,586,1977
479,2018-03-01,29,2955
480,2018-03-01,524,28
481,2018-03-01,727,533
482,2018-03-01,708,832
483,2018-03-01,746,3420
484,2018-03-01,728,744
485,2018-03-01,716,8
486,2018-03-01,747,2096
487,2018-03-01,0,343
488,2018-03-01,75,1361
489,2018-03-01,603,61
490,2018-03-01,741,8
491,2018-03-01,541,662
492,2018-03-01,717,82
493,2018-03-01,1,522
494,2018-03-01,653,122
495,2018-03-01,743,11
496,2018-03-01,554,2405
497,2018-03-01,731,37
498,2018-03-01,12,38
499,2018-03-01,745,12
500,2018-03-02,579,6
501,2018-03-02,733,1193
502,2018-03-02,721,38
503,2018-03-03,687,10
504,2018-03-05,13,7
505,2018-03-05,730,4
506,2018-03-05,115,46
507,2018-03-05,677,58
508,2018-03-05,44,41
509,2018-03-06,738,41
510,2018-03-06,18,15
511,2018-03-08,49,1
512,2018-03-09,602,1
513,2018-03-09,739,2
514,2018-03-09,748,17
515,2018-03-09,375,20
516,2018-03-09,749,20
517,2018-03-09,744,7
518,2018-03-11,14,2
519,2018-03-13,127,1
520,2018-03-14,228,9
521,2018-03-14,361,3
522,2018-03-14,720,3
523,2018-03-15,43,5
524,2018-03-15,17,5
525,2018-03-15,2,1
526,2018-03-16,15,1
527,2018-03-16,124,20
528,2018-03-17,30,1
529,2018-03-17,38,7
530,2018-03-21,459,4
531,2018-03-26,157,4
532,2018-03-28,536,1
533,2018-04-01,43,4
534,2018-04-01,554,7688
535,2018-04-01,727,440
536,2018-04-01,708,822
537,2018-04-01,746,1779
538,2018-04-01,653,313
539,2018-04-01,728,77
540,2018-04-01,12,38
541,2018-04-01,48,246
542,2018-04-01,717,388
543,2018-04-01,0,302
544,2018-04-01,75,748
545,2018-04-01,586,1464
546,2018-04-01,29,6248
