,id,name,city,collaborator_users,admin_users,classes_count,text_count,scorm_count,programs_count,created_tests_count,created_news_count,new_views_count,courses_count,finished_courses,answered_questions_count,correct_answers_count,incorrect_answers_count,likes_count,created_questions,created_questions,comments_count,attempts_count
74,814,Reclutamiento Confuturo,,1.0,3.0,,12.0,,2.0,16.0,,,7.0,1.0,1.0,1.0,0.0,,,,,
75,816,Watts,,165.0,2.0,437.0,321.0,,23.0,511.0,,,24.0,38.0,1163.0,732.0,400.0,,,,,
76,817,Italmod,,140.0,2.0,133.0,150.0,,15.0,624.0,,,15.0,148.0,7824.0,4908.0,2657.0,,,,,63.0
77,818,Metso ,Santiago,45.0,1.0,195.0,148.0,,12.0,230.0,,,13.0,75.0,3739.0,2759.0,980.0,,,,,161.0
78,824,Empresas Otero,,432.0,4.0,1957.0,1973.0,18.0,133.0,2547.0,,,142.0,728.0,34410.0,20471.0,12512.0,,,,,559.0
79,825,San Camilo,,2034.0,5.0,765.0,253.0,7.0,81.0,608.0,,,106.0,1402.0,25295.0,14652.0,10067.0,2.0,57.0,57.0,,7.0
80,826,Plataforma Demostrativa ClassroomTV,Santiago,229.0,12.0,1304.0,1028.0,36.0,46.0,1769.0,25.0,201.0,156.0,55.0,1028.0,365.0,423.0,39.0,3695.0,3695.0,11.0,52.0
81,827,Universidad Católica Cardenal Raúl Silva Henríquez,,8.0,1.0,39.0,38.0,,3.0,49.0,,,3.0,6.0,232.0,141.0,71.0,,,,,15.0
82,829,Fundación las Rosas,,3882.0,9.0,1477.0,1323.0,266.0,117.0,1486.0,,,237.0,1114.0,22705.0,11740.0,10152.0,,1518.0,1518.0,,1260.0
83,832,newforus,,5755.0,10.0,4.0,5.0,,1.0,8.0,,10.0,2.0,1891.0,,,,,,,,
84,834,AMCOR,,1.0,1.0,,,,,1.0,,,1.0,,18.0,4.0,14.0,,,,,
85,835,Porsche Academy,,538.0,3.0,3517.0,3788.0,119.0,165.0,7565.0,,,337.0,361.0,15421.0,10546.0,4217.0,,40.0,40.0,,138.0
86,836,Salinas y Fabres (Salfa),,642.0,1.0,825.0,807.0,,53.0,1081.0,,,58.0,682.0,25204.0,14943.0,9947.0,,,,,779.0
87,838,Universidad Santo Tomás,,2.0,3.0,47.0,45.0,,3.0,56.0,,,3.0,,,,,,,,,
88,842,Winko,,147.0,2.0,76.0,75.0,,8.0,78.0,,,7.0,77.0,3027.0,1884.0,1110.0,,,,,127.0
89,843,Corporación de Capacitación de la Construcción,,1.0,1.0,91.0,44.0,,4.0,145.0,,,7.0,,,,,,,,,
90,844,asdasd,asdasd,1.0,0.0,,,,,,,,,,,,,,,,,
91,845,Inversiones Ultramar limitada,,102.0,4.0,269.0,202.0,4.0,18.0,313.0,,,18.0,20.0,1020.0,857.0,163.0,,,,,
92,847,Constructora Sigdo Koppers - Vial y Vives Limitada,,1.0,1.0,,,,2.0,3.0,,,2.0,,15.0,7.0,8.0,,,,,2.0
93,849,Mecánica Vogt,,110.0,1.0,88.0,75.0,,5.0,119.0,,,5.0,83.0,3195.0,1919.0,1232.0,,,,,
94,850,Compañía de Cervecerías Unidas,,14474.0,21.0,854.0,2829.0,490.0,32.0,3866.0,,,1789.0,55294.0,400910.0,234161.0,125180.0,,950.0,950.0,,31785.0
95,856,Inchcape,,1.0,1.0,240.0,123.0,,11.0,186.0,,,14.0,1.0,30.0,30.0,0.0,,,,,
96,857,Fen Universidad de Chile,,6.0,1.0,6.0,6.0,,2.0,5.0,,,2.0,,,,,,,,,
97,858,Caffarena,,144.0,2.0,392.0,391.0,,21.0,449.0,,,24.0,81.0,3789.0,2131.0,1655.0,,,,,170.0
98,861,Coca-Cola Andina,,0.0,1.0,,,,,,,,,,,,,,,,,
99,862,Uno Salud Dental,,47.0,2.0,1012.0,621.0,,37.0,595.0,,,37.0,15.0,423.0,259.0,155.0,,,,,
100,863,Besalco,,0.0,1.0,,,,1.0,,,,,,,,,,,,,
101,864,xamansito,,,,,,,,,,,,,,,,,,,,
102,865,pruebaadmin,,2.0,7.0,,8.0,,9.0,4.0,1.0,,10.0,1.0,,,,,6.0,6.0,,
103,866,Coaniquem,,1.0,1.0,100.0,36.0,,3.0,59.0,,,3.0,,,,,,,,,
104,868,Grupo Sat,,1.0,1.0,24.0,11.0,,1.0,4.0,,,1.0,,10.0,8.0,2.0,,,,,
105,869,Metso Chile,,74.0,1.0,512.0,469.0,54.0,32.0,924.0,,,38.0,29.0,1866.0,1270.0,567.0,,,,,
106,870,Curifor,,94.0,2.0,30.0,51.0,,6.0,53.0,,,8.0,18.0,1071.0,544.0,497.0,,,,,
107,872,Plataforma Demostrativa DEMO ARA,Santiago,2.0,6.0,,,,,,,,,,,,,,,,,
108,873,Luval,,1.0,1.0,179.0,103.0,,7.0,132.0,,,9.0,,,,,,,,,
109,874,Plataforma TEST Fabrica ,Santiago,79.0,2.0,,,,,,,,,,,,,,,,,
110,875,CSM,,12.0,2.0,157.0,128.0,,4.0,223.0,1.0,1.0,10.0,,,,,1.0,,,,1.0
111,876,Eduardo,,0.0,1.0,,,,,,,,,,,,,,,,,
112,877,Demo Clientes,,27.0,26.0,1109.0,877.0,34.0,13.0,1725.0,6.0,180.0,80.0,5.0,907.0,597.0,203.0,4.0,1.0,1.0,2.0,36.0
113,878,Contenidos,,2.0,1.0,942.0,4.0,3.0,17.0,2.0,,,100.0,3.0,77.0,50.0,27.0,,1.0,1.0,,3.0
114,879,Itau respaldo,,63.0,4.0,26.0,,,3.0,,,,3.0,16.0,554.0,439.0,115.0,,,,,
115,880,Umine,,62.0,3.0,1017.0,838.0,30.0,12.0,1652.0,4.0,67.0,73.0,54.0,620.0,302.0,284.0,87.0,47253.0,47253.0,7.0,50.0
116,881,Enami Capacita Contratistas,,2038.0,1.0,225.0,134.0,86.0,8.0,148.0,1.0,192.0,37.0,480.0,8226.0,4842.0,3137.0,12.0,,,1.0,345.0
117,882,adidas,,107.0,2.0,153.0,125.0,3.0,11.0,237.0,,,11.0,46.0,4801.0,3257.0,1448.0,,,,,5.0
118,883,javello,,1.0,0.0,,,,,,,,,1.0,,,,3.0,2.0,2.0,1.0,
119,884,Forja - Multi X,,2740.0,2.0,992.0,840.0,10.0,40.0,1387.0,,,64.0,20.0,929.0,586.0,324.0,,31.0,31.0,,1.0
120,885,Carozzi,,16.0,1.0,37.0,23.0,,2.0,85.0,,,2.0,13.0,663.0,341.0,309.0,,,,,
121,886,Facultad Medicina UChile,,1.0,1.0,13.0,8.0,,1.0,23.0,,,1.0,,,,,,,,,
122,887,Callsouth,,22.0,1.0,73.0,52.0,,4.0,85.0,,,4.0,12.0,418.0,160.0,233.0,,,,,
123,888,Vinilit,,0.0,1.0,,,,,,,,,,,,,,,,,
