,id,Cliente,Usuarios totales,Usuarios activos,Usuarios cargados 2018,Usuarios cargados 2019,Usuarios cargados 2020,Usuarios cargados 2021,Usuarios cargados 2022,Usuarios con ingreso a plataforma 2019,Usuarios con ingreso a plataforma 2020,Usuarios con ingreso a plataforma 2021,Usuarios con ingreso a plataforma 2022
829,893,Anglo American,1,1,0,0,0,0,1,0,0,0,1
830,894,Prueba Free Pau,1,1,0,0,0,0,1,0,0,0,1
831,895,Disal,3,3,0,0,0,0,3,0,0,0,3
832,896,Fundación Integra,10,10,0,0,0,0,10,0,0,0,8
833,897,Aza,25,25,0,0,0,0,25,0,0,0,14
834,898,Constructora CVP,27,27,0,0,0,0,27,0,0,0,15
835,899,Grupo Los Lirios,1,1,0,0,0,0,1,0,0,0,0
836,900,Lepanto,41,41,0,0,0,0,41,0,0,0,9
837,901,Prosud,12,12,0,0,0,0,12,0,0,0,8
838,902,Gestor Inclusión,68,67,0,0,0,0,68,0,0,0,57
839,903,branding,1,1,0,0,0,0,1,0,0,0,1
840,904,Enami capacita a la mineria,34,34,0,0,0,1,33,0,0,0,23
841,905,Fleischmann,754,754,0,0,0,0,754,0,0,0,2
842,906,Cerp,78,78,0,0,0,0,78,0,0,0,19
843,908,Chiletransparente,4,4,0,0,0,0,4,0,0,0,1
844,909,IP Chile,1,1,0,0,0,0,1,0,0,0,0
845,910,Metáfora,767,767,0,0,0,0,767,0,0,0,68
846,911,Compañía Minera del Pacifico,60,60,0,0,0,0,60,0,0,0,17
847,912,Fundación ConTrabajo,92,92,0,0,0,0,92,0,0,0,50
848,914,Thyssenkrupp,73,73,0,0,0,0,73,0,0,0,56
849,915,Clinica Cumbre Dental,15,15,0,0,0,0,15,0,0,0,2
850,916,CasaIdeas,1,1,0,0,0,0,1,0,0,0,1
851,917,Envases de Pacifico S.A (EDELPA),367,367,0,0,0,0,367,0,0,0,1
852,918,Americar,173,173,0,0,0,0,173,0,0,0,4
853,920,Parques de Chile,2,2,0,0,0,0,2,0,0,0,1
854,921,starbucks,10,10,0,0,0,0,10,0,0,0,0
855,922,QA-Enami,4,4,0,0,0,0,4,0,0,0,1
856,923,Intelcia,53,53,0,0,0,0,53,0,0,0,1
857,924,Academia Fundación las Rosas,2,2,0,0,0,0,2,0,0,0,0
858,925,dimak,46,46,0,0,0,0,46,0,0,0,0
859,926,agricovial,2,2,0,0,0,0,2,0,0,0,1
