,id,Cliente,Usuarios totales,Usuarios activos,Usuarios cargados 2018,Usuarios cargados 2019,Usuarios cargados 2020,Usuarios cargados 2021,Usuarios cargados 2022,Usuarios con ingreso a plataforma 2019,Usuarios con ingreso a plataforma 2020,Usuarios con ingreso a plataforma 2021,Usuarios con ingreso a plataforma 2022
602,634,Colun,3,3,0,0,0,0,0,0,0,0,0
603,635,EstChile,2,2,0,0,0,0,0,0,0,0,0
604,636,unabcl,2,2,0,0,0,0,0,0,0,0,0
605,637,ProAMG,2,2,0,0,0,0,0,0,0,0,0
606,638,Corona,2,2,0,0,0,0,0,0,0,0,0
607,639,Qualitat,2,2,0,0,0,0,0,0,0,0,0
608,640,Nuestra señora de Asunción ,2,2,0,0,0,0,0,0,0,0,0
609,641,particularestudiante,2,2,0,0,0,0,0,0,0,0,0
610,642,sercapal ltda.,2,2,0,0,0,0,0,0,0,0,0
611,643,Finis terrae ,2,2,0,0,0,0,0,0,0,0,0
612,644,U mayor,2,2,0,0,0,0,0,0,0,0,0
613,646,Ralisboa,2,2,0,0,0,0,0,0,0,0,0
614,647,diresa,2,2,0,0,0,0,0,0,0,0,0
615,648,Net Trainers,2,2,0,0,0,0,0,0,0,0,0
616,649,Centro Educacional Rayenco,1,1,0,0,0,0,0,0,0,0,0
617,650,Duoc  uc ,2,2,0,0,0,0,0,0,0,0,0
618,651,HUMAN SERVICE LATAM,3,3,0,0,0,0,0,0,0,0,0
619,652,Tread ,2,2,0,0,0,0,0,0,0,0,0
620,653,Transelec S.A.,765,765,20,13,721,4,0,252,664,88,1
621,654,corpaeperu,2,2,0,0,0,0,0,0,0,0,0
622,655,Vaissen,2,2,0,0,0,0,0,0,0,0,0
623,656,corporacion educacional tecnologica de chile,2,2,0,0,0,0,0,0,0,0,0
624,657,Alter&Go,2,2,0,0,0,0,0,0,0,0,0
625,659,Quality,3,3,0,0,0,0,0,0,0,0,0
626,660,Red Academy,2,2,0,0,0,0,0,0,0,0,0
627,661,Centro de Emprendimiento Integral y Desarrollo,2,2,0,0,0,0,0,0,0,0,0
628,662,Universitas Wijaya Putra Surabaya,2,2,0,0,0,0,0,0,0,0,0
629,663,Klubschule Migros Aare,2,2,0,0,0,0,0,0,0,0,0
630,664,treid spa,2,2,0,0,0,0,0,0,0,0,0
631,665,Cial ,2,2,0,0,0,0,0,0,0,0,0
632,666,NASE,2,2,0,0,0,0,0,0,0,0,0
633,667,prueba,3,3,0,0,0,0,0,0,0,0,0
634,668,Insuco,2,2,0,0,0,0,0,0,0,0,0
635,669,Emprendetu,2,2,0,0,0,0,0,0,0,0,0
636,670,Stanford Medicine,2,2,0,0,0,0,0,0,0,0,0
637,671,Operatio,28,28,0,0,0,0,0,0,0,0,0
638,672,If-Inacap,1,1,0,0,0,0,0,0,0,0,0
639,673,Strategyka,7,7,0,0,0,0,0,0,0,0,0
640,674,VTraders,2,2,0,0,0,0,0,0,0,0,0
641,675,Soprole,33,33,0,0,0,0,0,0,0,0,0
642,676,Teleasistencia Chile spa,4,3,0,0,0,0,0,0,0,0,0
643,677,Teleton,1667,1667,31,49,88,233,1235,189,1045,1163,1048
644,678,Profeduc,3,2,0,0,0,0,0,0,0,0,0
645,679,EXE,3,3,0,0,0,0,0,0,0,0,0
646,680,Ventisqueros,298,298,0,0,0,0,1,0,0,0,0
647,681,Pontificia Universidad Católica de valparaíso,2,2,0,0,0,0,0,0,0,0,0
648,682,rald,2,2,0,0,0,0,0,0,0,0,0
649,683,hertz,2,2,0,0,0,0,0,0,0,0,0
650,684,TIC UDP,2,2,0,0,0,0,0,0,0,0,0
651,685,Educatese,2,2,0,0,0,0,0,0,0,0,0
652,686,Efecto,2,2,0,0,0,0,0,0,0,0,0
653,687,PreOnline,78,78,10,0,0,0,0,2,1,1,1
654,688,Campero,74,73,0,0,0,0,0,0,0,0,0
655,689,ServiEstado,2,2,0,0,0,0,0,0,0,0,0
656,690,Uninove ,2,2,0,0,0,0,0,0,0,0,0
657,691,congelar ,2,2,0,0,0,0,0,0,0,0,0
658,693,lanixerp,2,2,0,0,0,0,0,0,0,0,0
659,694,TVN CREAR,10,10,0,0,0,2,0,0,0,2,0
660,696,Campus E-Learning ServiEstado,9,9,0,0,0,0,0,0,0,0,0
661,697,Deutsche Schule,2,2,0,0,0,0,0,0,0,0,0
662,699,Facultad de Ciencias físicas y matemática,2,2,0,0,0,0,0,0,0,0,0
663,700,demostracion,2,2,0,0,0,0,0,0,0,0,0
664,701,ICEL,2,2,0,0,0,0,0,0,0,0,0
665,702,Estudiactivo,2,2,0,0,0,0,0,0,0,0,0
666,703,Águila mayor,2,2,0,0,0,0,0,0,0,0,0
667,704,Colegio Águila mayor,2,2,0,0,0,0,0,0,0,0,0
668,705,Colegio águila mayorr,2,2,0,0,0,0,0,0,0,0,0
669,706,Training Solutions,2,2,0,0,0,0,0,0,0,0,0
670,707,Puma Old,2,2,0,0,0,0,0,0,0,0,0
671,708,Sodimac,24768,24768,4074,335,2885,0,3,2121,771,196,55
672,709,Campus Corporativo,28,28,2,22,1,0,0,22,1,0,1
673,712,Iniciactiva Comunicaciones,2,2,0,0,0,0,0,0,0,0,0
674,713,Penta vida,153,152,0,0,0,2,1,1,0,0,0
675,714,Universidad de Talca ,2,2,0,0,0,0,0,0,0,0,0
676,715,Brandfit,400,400,95,70,0,0,0,54,4,1,1
677,716,Besalco Construcciones,302,302,1,22,0,3,18,24,3,4,18
678,717,ClassroomTV Otec,405,405,61,114,58,124,46,89,92,59,41
679,719,Evoting,363,363,1,0,0,0,0,0,0,0,0
680,720,Feel-Lab,3,3,0,0,0,0,0,1,0,0,0
681,721,Resiter,2336,2336,6,2122,203,0,1,216,62,2,3
682,722,Puma,3,3,0,0,0,0,0,0,0,0,0
683,724,EDEChile,3,3,0,0,0,0,0,0,0,0,0
684,727,ChilenaConsolidada,4973,4954,230,56,525,453,3388,1623,1697,727,670
685,728,BCI Seguros,1041,1041,137,724,177,1,1,21,163,3,3
686,730,-,163,163,96,11,1,1,1,14,1,1,1
687,731,Formación,249,249,238,0,1,0,0,4,0,0,0
688,733,BiceVida,490,0,397,1,3,3,0,0,0,0,0
689,735,Enlace,11,11,0,0,2,0,0,1,0,0,0
690,736,Schot,374,374,48,321,1,0,0,274,93,10,8
691,737,Affinity,2,2,0,0,0,0,0,1,0,0,1
692,738,Aasa,166,166,55,31,2,34,0,12,3,29,1
693,739,ACHS,191,191,0,0,0,0,0,1,2,0,1
694,740,Larrain y Salas,2,2,0,0,0,0,0,0,0,0,0
695,741,AFP Habitat,4037,4037,1,633,322,1476,1605,1135,2010,2002,1185
696,742,enjoycoquimbo,150,150,0,0,0,0,0,1,0,0,0
697,743,Mas Errázuriz,2324,2324,3,161,15,29,2063,140,19,56,1564
698,744,Esachs,138,138,1,0,0,0,0,1,0,0,0
699,745,Airnguru,24,24,11,5,0,0,0,2,0,1,0
700,746,Forus,16913,3847,113,9042,1217,1285,5256,1758,1996,1673,2403
701,747,ProVida Afp,1890,1890,983,899,2,4,2,625,6,1,1
702,748,Comulsa,58,58,55,3,0,0,0,2,1,0,0
703,749,Itau,684,684,674,10,0,0,0,88,10,0,1
704,752,Chilquinta,1217,1217,84,471,181,175,306,250,254,231,247
705,753,Global Frozen,48,48,48,0,0,0,0,4,2,1,1
706,756,Salazar Israel,560,560,77,482,1,0,0,188,23,0,1
707,757,Macal,171,171,19,130,21,0,1,129,6,1,2
708,760,Viña Concha y Toro,38,38,5,0,29,4,0,3,10,24,1
709,761,Encuesta,1907,1905,16,299,427,1165,0,5,109,793,100
710,762,Pensiones,82,82,25,43,10,2,2,31,7,3,3
711,764,Cursos,476,476,0,0,0,0,476,5,1,0,149
712,766,++Zepeda,70,70,67,1,0,0,2,7,2,0,2
713,767,Conelsur,118,118,64,0,52,2,0,12,16,44,1
714,768,Travel Club,304,304,50,0,254,0,0,59,90,2,1
715,769,Andes Academy,591,591,36,550,1,4,0,463,71,9,2
